"date_str","opp","result","record","team","league","division","pct","date_str2"
"Tuesday, Apr 14","SEA","W-wo","5-3","LAD","NL","west",0.625,2015-04-14
"Wednesday, Apr 15","SEA","W","6-3","LAD","NL","west",0.666666666666667,2015-04-15
"Friday, Apr 17","COL","W","7-3","LAD","NL","west",0.7,2015-04-17
"Saturday, Apr 18","COL","W","8-3","LAD","NL","west",0.727272727272727,2015-04-18
"Sunday, Apr 19","COL","W","9-3","LAD","NL","west",0.75,2015-04-19
"Tuesday, Apr 21","SFG","L","9-4","LAD","NL","west",0.692307692307692,2015-04-21
"Wednesday, Apr 22","SFG","L-wo","9-5","LAD","NL","west",0.642857142857143,2015-04-22
"Thursday, Apr 23","SFG","L-wo","9-6","LAD","NL","west",0.6,2015-04-23
"Friday, Apr 24","SDP","W","10-6","LAD","NL","west",0.625,2015-04-24
"Saturday, Apr 25","SDP","W","11-6","LAD","NL","west",0.647058823529412,2015-04-25
"Sunday, Apr 26","SDP","L","11-7","LAD","NL","west",0.611111111111111,2015-04-26
"Monday, Apr 27","SFG","W","12-7","LAD","NL","west",0.631578947368421,2015-04-27
"Tuesday, Apr 28","SFG","L","12-8","LAD","NL","west",0.6,2015-04-28
"Wednesday, Apr 29","SFG","W","13-8","LAD","NL","west",0.619047619047619,2015-04-29
"Friday, May 1","ARI","W","14-8","LAD","NL","west",0.636363636363636,2015-05-01
"Saturday, May 2","ARI","W","15-8","LAD","NL","west",0.652173913043478,2015-05-02
"Sunday, May 3","ARI","W-wo","16-8","LAD","NL","west",0.666666666666667,2015-05-03
"Monday, May 4","MIL","L","16-9","LAD","NL","west",0.64,2015-05-04
"Tuesday, May 5","MIL","W","17-9","LAD","NL","west",0.653846153846154,2015-05-05
"Wednesday, May 6","MIL","L","17-10","LAD","NL","west",0.62962962962963,2015-05-06
"Thursday, May 7","MIL","W","18-10","LAD","NL","west",0.642857142857143,2015-05-07
"Friday, May 8","COL","W","19-10","LAD","NL","west",0.655172413793103,2015-05-08
"Sunday, May 10","COL","W","20-10","LAD","NL","west",0.666666666666667,2015-05-10
"Monday, May 11","MIA","W-wo","21-10","LAD","NL","west",0.67741935483871,2015-05-11
"Tuesday, May 12","MIA","W","22-10","LAD","NL","west",0.6875,2015-05-12
"Wednesday, May 13","MIA","L","22-11","LAD","NL","west",0.666666666666667,2015-05-13
"Thursday, May 14","COL","L","22-12","LAD","NL","west",0.647058823529412,2015-05-14
"Friday, May 15","COL","W","23-12","LAD","NL","west",0.657142857142857,2015-05-15
"Saturday, May 16","COL","L","23-13","LAD","NL","west",0.638888888888889,2015-05-16
"Sunday, May 17","COL","W","24-13","LAD","NL","west",0.648648648648649,2015-05-17
"Tuesday, May 19","SFG","L","24-14","LAD","NL","west",0.631578947368421,2015-05-19
"Wednesday, May 20","SFG","L","24-15","LAD","NL","west",0.615384615384615,2015-05-20
"Thursday, May 21","SFG","L","24-16","LAD","NL","west",0.6,2015-05-21
"Friday, May 22","SDP","W","25-16","LAD","NL","west",0.609756097560976,2015-05-22
"Saturday, May 23","SDP","W","26-16","LAD","NL","west",0.619047619047619,2015-05-23
"Sunday, May 24","SDP","L","26-17","LAD","NL","west",0.604651162790698,2015-05-24
"Monday, May 25","ATL","W","27-17","LAD","NL","west",0.613636363636364,2015-05-25
"Tuesday, May 26","ATL","W","28-17","LAD","NL","west",0.622222222222222,2015-05-26
"Wednesday, May 27","ATL","L","28-18","LAD","NL","west",0.608695652173913,2015-05-27
"Friday, May 29","STL","L","28-19","LAD","NL","west",0.595744680851064,2015-05-29
"Saturday, May 30","STL","W","29-19","LAD","NL","west",0.604166666666667,2015-05-30
"Sunday, May 31","STL","L","29-20","LAD","NL","west",0.591836734693878,2015-05-31
"Monday, Jun 1","COL","W","30-20","LAD","NL","west",0.6,2015-06-01
"Tuesday, Jun 2 (1)","COL","L","30-21","LAD","NL","west",0.588235294117647,2015-06-02
"Tuesday, Jun 2 (2)","COL","W","31-21","LAD","NL","west",0.596153846153846,2015-06-02
"Wednesday, Jun 3","COL","L-wo","31-22","LAD","NL","west",0.584905660377358,2015-06-03
"Thursday, Jun 4","STL","L","31-23","LAD","NL","west",0.574074074074074,2015-06-04
"Friday, Jun 5","STL","L","31-24","LAD","NL","west",0.563636363636364,2015-06-05
"Saturday, Jun 6","STL","W","32-24","LAD","NL","west",0.571428571428571,2015-06-06
"Sunday, Jun 7","STL","L","32-25","LAD","NL","west",0.56140350877193,2015-06-07
"Monday, Jun 8","ARI","W","33-25","LAD","NL","west",0.568965517241379,2015-06-08
"Tuesday, Jun 9","ARI","W","34-25","LAD","NL","west",0.576271186440678,2015-06-09
"Wednesday, Jun 10","ARI","W-wo","35-25","LAD","NL","west",0.583333333333333,2015-06-10
"Friday, Jun 12","SDP","W","36-25","LAD","NL","west",0.590163934426229,2015-06-12
"Saturday, Jun 13","SDP","L","36-26","LAD","NL","west",0.580645161290323,2015-06-13
"Sunday, Jun 14","SDP","W","37-26","LAD","NL","west",0.587301587301587,2015-06-14
"Monday, Jun 15","TEX","L","37-27","LAD","NL","west",0.578125,2015-06-15
"Tuesday, Jun 16","TEX","L-wo","37-28","LAD","NL","west",0.569230769230769,2015-06-16
"Wednesday, Jun 17","TEX","L","37-29","LAD","NL","west",0.560606060606061,2015-06-17
"Thursday, Jun 18","TEX","W-wo","38-29","LAD","NL","west",0.567164179104478,2015-06-18
"Friday, Jun 19","SFG","L","38-30","LAD","NL","west",0.558823529411765,2015-06-19
"Saturday, Jun 20","SFG","L","38-31","LAD","NL","west",0.550724637681159,2015-06-20
"Sunday, Jun 21","SFG","W","39-31","LAD","NL","west",0.557142857142857,2015-06-21
"Monday, Jun 22","CHC","L","39-32","LAD","NL","west",0.549295774647887,2015-06-22
"Tuesday, Jun 23","CHC","L-wo","39-33","LAD","NL","west",0.541666666666667,2015-06-23
"Wednesday, Jun 24","CHC","W","40-33","LAD","NL","west",0.547945205479452,2015-06-24
"Thursday, Jun 25","CHC","W","41-33","LAD","NL","west",0.554054054054054,2015-06-25
"Friday, Jun 26","MIA","W","42-33","LAD","NL","west",0.56,2015-06-26
"Saturday, Jun 27","MIA","L","42-34","LAD","NL","west",0.552631578947368,2015-06-27
"Sunday, Jun 28","MIA","W","43-34","LAD","NL","west",0.558441558441558,2015-06-28
"Monday, Jun 29","ARI","L","43-35","LAD","NL","west",0.551282051282051,2015-06-29
"Tuesday, Jun 30","ARI","W","44-35","LAD","NL","west",0.556962025316456,2015-06-30
"Wednesday, Jul 1","ARI","W","45-35","LAD","NL","west",0.5625,2015-07-01
"Friday, Jul 3","NYM","L","45-36","LAD","NL","west",0.555555555555556,2015-07-03
"Saturday, Jul 4","NYM","W","46-36","LAD","NL","west",0.560975609756098,2015-07-04
"Sunday, Jul 5","NYM","L","46-37","LAD","NL","west",0.55421686746988,2015-07-05
"Monday, Jul 6","PHI","W","47-37","LAD","NL","west",0.55952380952381,2015-07-06
"Tuesday, Jul 7","PHI","L","47-38","LAD","NL","west",0.552941176470588,2015-07-07
"Wednesday, Jul 8","PHI","W","48-38","LAD","NL","west",0.558139534883721,2015-07-08
"Thursday, Jul 9","PHI","W","49-38","LAD","NL","west",0.563218390804598,2015-07-09
"Friday, Jul 10","MIL","W","50-38","LAD","NL","west",0.568181818181818,2015-07-10
"Saturday, Jul 11","MIL","L","50-39","LAD","NL","west",0.561797752808989,2015-07-11
"Sunday, Jul 12","MIL","W","51-39","LAD","NL","west",0.566666666666667,2015-07-12
"Friday, Jul 17","WSN","L","51-40","LAD","NL","west",0.56043956043956,2015-07-17
"Saturday, Jul 18","WSN","W","52-40","LAD","NL","west",0.565217391304348,2015-07-18
"Sunday, Jul 19","WSN","W","53-40","LAD","NL","west",0.56989247311828,2015-07-19
"Monday, Jul 20","ATL","L","53-41","LAD","NL","west",0.563829787234043,2015-07-20
"Tuesday, Jul 21","ATL","L","53-42","LAD","NL","west",0.557894736842105,2015-07-21
"Wednesday, Jul 22","ATL","W","54-42","LAD","NL","west",0.5625,2015-07-22
"Thursday, Jul 23","NYM","W","55-42","LAD","NL","west",0.56701030927835,2015-07-23
"Friday, Jul 24","NYM","W","56-42","LAD","NL","west",0.571428571428571,2015-07-24
"Saturday, Jul 25","NYM","L","56-43","LAD","NL","west",0.565656565656566,2015-07-25
"Sunday, Jul 26","NYM","L-wo","56-44","LAD","NL","west",0.56,2015-07-26
"Tuesday, Jul 28","OAK","L","56-45","LAD","NL","west",0.554455445544555,2015-07-28
"Wednesday, Jul 29","OAK","W","57-45","LAD","NL","west",0.558823529411765,2015-07-29
"Friday, Jul 31","LAA","W","58-45","LAD","NL","west",0.563106796116505,2015-07-31
"Saturday, Aug 1","LAA","W","59-45","LAD","NL","west",0.567307692307692,2015-08-01
"Sunday, Aug 2","LAA","W-wo","60-45","LAD","NL","west",0.571428571428571,2015-08-02
"Tuesday, Aug 4","PHI","L","60-46","LAD","NL","west",0.566037735849057,2015-08-04
"Wednesday, Aug 5","PHI","W","61-46","LAD","NL","west",0.570093457943925,2015-08-05
"Thursday, Aug 6","PHI","W","62-46","LAD","NL","west",0.574074074074074,2015-08-06
"Friday, Aug 7","PIT","L-wo","62-47","LAD","NL","west",0.568807339449541,2015-08-07
"Saturday, Aug 8","PIT","L","62-48","LAD","NL","west",0.563636363636364,2015-08-08
"Sunday, Aug 9","PIT","L","62-49","LAD","NL","west",0.558558558558559,2015-08-09
"Monday, Aug 10","WSN","L","62-50","LAD","NL","west",0.553571428571429,2015-08-10
"Tuesday, Aug 11","WSN","W","63-50","LAD","NL","west",0.557522123893805,2015-08-11
"Wednesday, Aug 12","WSN","W","64-50","LAD","NL","west",0.56140350877193,2015-08-12
"Thursday, Aug 13","CIN","L","64-51","LAD","NL","west",0.556521739130435,2015-08-13
"Friday, Aug 14","CIN","W","65-51","LAD","NL","west",0.560344827586207,2015-08-14
"Saturday, Aug 15","CIN","W","66-51","LAD","NL","west",0.564102564102564,2015-08-15
"Sunday, Aug 16","CIN","W","67-51","LAD","NL","west",0.567796610169492,2015-08-16
"Tuesday, Aug 18","OAK","L-wo","67-52","LAD","NL","west",0.563025210084034,2015-08-18
"Wednesday, Aug 19","OAK","L","67-53","LAD","NL","west",0.558333333333333,2015-08-19
"Friday, Aug 21","HOU","L","67-54","LAD","NL","west",0.553719008264463,2015-08-21
"Saturday, Aug 22","HOU","L","67-55","LAD","NL","west",0.549180327868853,2015-08-22
"Sunday, Aug 23","HOU","L-wo","67-56","LAD","NL","west",0.544715447154472,2015-08-23
"Tuesday, Aug 25","CIN","W","68-56","LAD","NL","west",0.548387096774194,2015-08-25
"Wednesday, Aug 26","CIN","W","69-56","LAD","NL","west",0.552,2015-08-26
"Thursday, Aug 27","CIN","W","70-56","LAD","NL","west",0.555555555555556,2015-08-27
"Friday, Aug 28","CHC","W","71-56","LAD","NL","west",0.559055118110236,2015-08-28
"Saturday, Aug 29","CHC","W","72-56","LAD","NL","west",0.5625,2015-08-29
"Sunday, Aug 30","CHC","L","72-57","LAD","NL","west",0.558139534883721,2015-08-30
"Monday, Aug 31","SFG","W-wo","73-57","LAD","NL","west",0.561538461538462,2015-08-31
"Tuesday, Sep 1","SFG","W","74-57","LAD","NL","west",0.564885496183206,2015-09-01
"Wednesday, Sep 2","SFG","W","75-57","LAD","NL","west",0.568181818181818,2015-09-02
"Thursday, Sep 3","SDP","L","75-58","LAD","NL","west",0.56390977443609,2015-09-03
"Friday, Sep 4","SDP","W","76-58","LAD","NL","west",0.567164179104478,2015-09-04
"Saturday, Sep 5","SDP","W","77-58","LAD","NL","west",0.57037037037037,2015-09-05
"Sunday, Sep 6","SDP","W","78-58","LAD","NL","west",0.573529411764706,2015-09-06
"Monday, Sep 7","LAA","W","79-58","LAD","NL","west",0.576642335766423,2015-09-07
"Tuesday, Sep 8","LAA","W","80-58","LAD","NL","west",0.579710144927536,2015-09-08
"Wednesday, Sep 9","LAA","L","80-59","LAD","NL","west",0.575539568345324,2015-09-09
"Friday, Sep 11","ARI","L","80-60","LAD","NL","west",0.571428571428571,2015-09-11
"Saturday, Sep 12","ARI","W","81-60","LAD","NL","west",0.574468085106383,2015-09-12
"Sunday, Sep 13","ARI","W","82-60","LAD","NL","west",0.577464788732394,2015-09-13
"Monday, Sep 14","COL","W","83-60","LAD","NL","west",0.58041958041958,2015-09-14
"Tuesday, Sep 15","COL","L","83-61","LAD","NL","west",0.576388888888889,2015-09-15
"Wednesday, Sep 16","COL","W","84-61","LAD","NL","west",0.579310344827586,2015-09-16
"Friday, Sep 18","PIT","W","85-61","LAD","NL","west",0.582191780821918,2015-09-18
"Saturday, Sep 19","PIT","L","85-62","LAD","NL","west",0.578231292517007,2015-09-19
"Sunday, Sep 20","PIT","L","85-63","LAD","NL","west",0.574324324324324,2015-09-20
"Monday, Sep 21","ARI","L","85-64","LAD","NL","west",0.570469798657718,2015-09-21
"Tuesday, Sep 22","ARI","L","85-65","LAD","NL","west",0.566666666666667,2015-09-22
"Wednesday, Sep 23","ARI","W","86-65","LAD","NL","west",0.56953642384106,2015-09-23
"Thursday, Sep 24","ARI","W","87-65","LAD","NL","west",0.572368421052632,2015-09-24
"Friday, Sep 25","COL","L","87-66","LAD","NL","west",0.568627450980392,2015-09-25
"Saturday, Sep 26","COL","L-wo","87-67","LAD","NL","west",0.564935064935065,2015-09-26
"Sunday, Sep 27","COL","L","87-68","LAD","NL","west",0.561290322580645,2015-09-27
"Monday, Apr 6","MIL","W","1-0","COL","NL","west",1,2015-04-06
"Tuesday, Apr 7","MIL","W","2-0","COL","NL","west",1,2015-04-07
"Wednesday, Apr 8","MIL","W","3-0","COL","NL","west",1,2015-04-08
"Friday, Apr 10","CHC","W","4-0","COL","NL","west",1,2015-04-10
"Saturday, Apr 11","CHC","L","4-1","COL","NL","west",0.8,2015-04-11
"Sunday, Apr 12","CHC","L","4-2","COL","NL","west",0.666666666666667,2015-04-12
"Monday, Apr 13","SFG","W","5-2","COL","NL","west",0.714285714285714,2015-04-13
"Tuesday, Apr 14","SFG","W","6-2","COL","NL","west",0.75,2015-04-14
"Wednesday, Apr 15","SFG","W","7-2","COL","NL","west",0.777777777777778,2015-04-15
"Friday, Apr 17","LAD","L","7-3","COL","NL","west",0.7,2015-04-17
"Saturday, Apr 18","LAD","L","7-4","COL","NL","west",0.636363636363636,2015-04-18
"Sunday, Apr 19","LAD","L","7-5","COL","NL","west",0.583333333333333,2015-04-19
"Monday, Apr 20","SDP","L","7-6","COL","NL","west",0.538461538461538,2015-04-20
"Tuesday, Apr 21","SDP","L","7-7","COL","NL","west",0.5,2015-04-21
"Wednesday, Apr 22","SDP","W-wo","8-7","COL","NL","west",0.533333333333333,2015-04-22
"Thursday, Apr 23","SDP","W","9-7","COL","NL","west",0.5625,2015-04-23
"Friday, Apr 24","SFG","W","10-7","COL","NL","west",0.588235294117647,2015-04-24
"Saturday, Apr 25","SFG","L","10-8","COL","NL","west",0.555555555555556,2015-04-25
"Monday, Apr 27","ARI","W","11-8","COL","NL","west",0.578947368421053,2015-04-27
"Tuesday, Apr 28","ARI","L","11-9","COL","NL","west",0.55,2015-04-28
"Wednesday, Apr 29","ARI","L","11-10","COL","NL","west",0.523809523809524,2015-04-29
"Friday, May 1","SDP","L","11-11","COL","NL","west",0.5,2015-05-01
"Saturday, May 2","SDP","L","11-12","COL","NL","west",0.478260869565217,2015-05-02
"Sunday, May 3","SDP","L","11-13","COL","NL","west",0.458333333333333,2015-05-03
"Wednesday, May 6 (1)","ARI","L","11-14","COL","NL","west",0.44,2015-05-06
"Wednesday, May 6 (2)","ARI","L","11-15","COL","NL","west",0.423076923076923,2015-05-06
"Friday, May 8","LAD","L","11-16","COL","NL","west",0.407407407407407,2015-05-08
"Sunday, May 10","LAD","L","11-17","COL","NL","west",0.392857142857143,2015-05-10
"Tuesday, May 12","LAA","L","11-18","COL","NL","west",0.379310344827586,2015-05-12
"Wednesday, May 13","LAA","L-wo","11-19","COL","NL","west",0.366666666666667,2015-05-13
"Thursday, May 14","LAD","W","12-19","COL","NL","west",0.387096774193548,2015-05-14
"Friday, May 15","LAD","L","12-20","COL","NL","west",0.375,2015-05-15
"Saturday, May 16","LAD","W","13-20","COL","NL","west",0.393939393939394,2015-05-16
"Sunday, May 17","LAD","L","13-21","COL","NL","west",0.382352941176471,2015-05-17
"Monday, May 18","PHI","L","13-22","COL","NL","west",0.371428571428571,2015-05-18
"Tuesday, May 19","PHI","W","14-22","COL","NL","west",0.388888888888889,2015-05-19
"Wednesday, May 20","PHI","L","14-23","COL","NL","west",0.378378378378378,2015-05-20
"Thursday, May 21","PHI","W","15-23","COL","NL","west",0.394736842105263,2015-05-21
"Friday, May 22","SFG","L","15-24","COL","NL","west",0.384615384615385,2015-05-22
"Saturday, May 23 (1)","SFG","L","15-25","COL","NL","west",0.375,2015-05-23
"Saturday, May 23 (2)","SFG","W","16-25","COL","NL","west",0.390243902439024,2015-05-23
"Sunday, May 24","SFG","W","17-25","COL","NL","west",0.404761904761905,2015-05-24
"Monday, May 25","CIN","W","18-25","COL","NL","west",0.418604651162791,2015-05-25
"Tuesday, May 26","CIN","L-wo","18-26","COL","NL","west",0.409090909090909,2015-05-26
"Wednesday, May 27","CIN","W","19-26","COL","NL","west",0.422222222222222,2015-05-27
"Friday, May 29","PHI","W","20-26","COL","NL","west",0.434782608695652,2015-05-29
"Saturday, May 30","PHI","W","21-26","COL","NL","west",0.446808510638298,2015-05-30
"Sunday, May 31","PHI","W","22-26","COL","NL","west",0.458333333333333,2015-05-31
"Monday, Jun 1","LAD","L","22-27","COL","NL","west",0.448979591836735,2015-06-01
"Tuesday, Jun 2 (1)","LAD","W","23-27","COL","NL","west",0.46,2015-06-02
"Tuesday, Jun 2 (2)","LAD","L","23-28","COL","NL","west",0.450980392156863,2015-06-02
"Wednesday, Jun 3","LAD","W-wo","24-28","COL","NL","west",0.461538461538462,2015-06-03
"Friday, Jun 5","MIA","L","24-29","COL","NL","west",0.452830188679245,2015-06-05
"Saturday, Jun 6","MIA","W","25-29","COL","NL","west",0.462962962962963,2015-06-06
"Sunday, Jun 7","MIA","L","25-30","COL","NL","west",0.454545454545455,2015-06-07
"Monday, Jun 8","STL","W","26-30","COL","NL","west",0.464285714285714,2015-06-08
"Tuesday, Jun 9","STL","W","27-30","COL","NL","west",0.473684210526316,2015-06-09
"Wednesday, Jun 10","STL","L","27-31","COL","NL","west",0.46551724137931,2015-06-10
"Thursday, Jun 11","MIA","L","27-32","COL","NL","west",0.457627118644068,2015-06-11
"Friday, Jun 12","MIA","L","27-33","COL","NL","west",0.45,2015-06-12
"Saturday, Jun 13","MIA","L","27-34","COL","NL","west",0.442622950819672,2015-06-13
"Sunday, Jun 14","MIA","W","28-34","COL","NL","west",0.451612903225806,2015-06-14
"Monday, Jun 15","HOU","L","28-35","COL","NL","west",0.444444444444444,2015-06-15
"Tuesday, Jun 16","HOU","L","28-36","COL","NL","west",0.4375,2015-06-16
"Wednesday, Jun 17","HOU","L","28-37","COL","NL","west",0.430769230769231,2015-06-17
"Thursday, Jun 18","HOU","L","28-38","COL","NL","west",0.424242424242424,2015-06-18
"Friday, Jun 19","MIL","L","28-39","COL","NL","west",0.417910447761194,2015-06-19
"Saturday, Jun 20","MIL","W","29-39","COL","NL","west",0.426470588235294,2015-06-20
"Sunday, Jun 21","MIL","W","30-39","COL","NL","west",0.434782608695652,2015-06-21
"Tuesday, Jun 23","ARI","W","31-39","COL","NL","west",0.442857142857143,2015-06-23
"Wednesday, Jun 24","ARI","L","31-40","COL","NL","west",0.436619718309859,2015-06-24
"Thursday, Jun 25","ARI","W","32-40","COL","NL","west",0.444444444444444,2015-06-25
"Friday, Jun 26","SFG","W","33-40","COL","NL","west",0.452054794520548,2015-06-26
"Saturday, Jun 27","SFG","L","33-41","COL","NL","west",0.445945945945946,2015-06-27
"Sunday, Jun 28","SFG","L","33-42","COL","NL","west",0.44,2015-06-28
"Monday, Jun 29","OAK","L","33-43","COL","NL","west",0.434210526315789,2015-06-29
"Tuesday, Jun 30","OAK","W","34-43","COL","NL","west",0.441558441558442,2015-06-30
"Wednesday, Jul 1","OAK","L","34-44","COL","NL","west",0.435897435897436,2015-07-01
"Thursday, Jul 2","ARI","L","34-45","COL","NL","west",0.430379746835443,2015-07-02
"Friday, Jul 3","ARI","L-wo","34-46","COL","NL","west",0.425,2015-07-03
"Saturday, Jul 4","ARI","L","34-47","COL","NL","west",0.419753086419753,2015-07-04
"Sunday, Jul 5","ARI","W","35-47","COL","NL","west",0.426829268292683,2015-07-05
"Tuesday, Jul 7","LAA","L","35-48","COL","NL","west",0.421686746987952,2015-07-07
"Wednesday, Jul 8","LAA","L","35-49","COL","NL","west",0.416666666666667,2015-07-08
"Thursday, Jul 9","ATL","W","36-49","COL","NL","west",0.423529411764706,2015-07-09
"Friday, Jul 10","ATL","W","37-49","COL","NL","west",0.430232558139535,2015-07-10
"Saturday, Jul 11","ATL","W-wo","38-49","COL","NL","west",0.436781609195402,2015-07-11
"Sunday, Jul 12","ATL","W","39-49","COL","NL","west",0.443181818181818,2015-07-12
"Friday, Jul 17","SDP","L","39-50","COL","NL","west",0.438202247191011,2015-07-17
"Saturday, Jul 18","SDP","L","39-51","COL","NL","west",0.433333333333333,2015-07-18
"Monday, Jul 20","TEX","W-wo","40-51","COL","NL","west",0.43956043956044,2015-07-20
"Tuesday, Jul 21","TEX","L","40-52","COL","NL","west",0.434782608695652,2015-07-21
"Wednesday, Jul 22","TEX","L","40-53","COL","NL","west",0.43010752688172,2015-07-22
"Friday, Jul 24","CIN","W-wo","41-53","COL","NL","west",0.436170212765957,2015-07-24
"Saturday, Jul 25","CIN","L","41-54","COL","NL","west",0.431578947368421,2015-07-25
"Sunday, Jul 26","CIN","W","42-54","COL","NL","west",0.4375,2015-07-26
"Monday, Jul 27","CHC","L-wo","42-55","COL","NL","west",0.43298969072165,2015-07-27
"Tuesday, Jul 28","CHC","W","43-55","COL","NL","west",0.438775510204082,2015-07-28
"Wednesday, Jul 29","CHC","L","43-56","COL","NL","west",0.434343434343434,2015-07-29
"Thursday, Jul 30","STL","L-wo","43-57","COL","NL","west",0.43,2015-07-30
"Friday, Jul 31","STL","L","43-58","COL","NL","west",0.425742574257426,2015-07-31
"Saturday, Aug 1","STL","W","44-58","COL","NL","west",0.431372549019608,2015-08-01
"Sunday, Aug 2","STL","L-wo","44-59","COL","NL","west",0.427184466019417,2015-08-02
"Monday, Aug 3","SEA","L","44-60","COL","NL","west",0.423076923076923,2015-08-03
"Tuesday, Aug 4","SEA","L","44-61","COL","NL","west",0.419047619047619,2015-08-04
"Wednesday, Aug 5","SEA","W-wo","45-61","COL","NL","west",0.424528301886792,2015-08-05
"Friday, Aug 7","WSN","W","46-61","COL","NL","west",0.429906542056075,2015-08-07
"Saturday, Aug 8","WSN","L","46-62","COL","NL","west",0.425925925925926,2015-08-08
"Sunday, Aug 9","WSN","W","47-62","COL","NL","west",0.431192660550459,2015-08-09
"Monday, Aug 10","NYM","L","47-63","COL","NL","west",0.427272727272727,2015-08-10
"Tuesday, Aug 11","NYM","L","47-64","COL","NL","west",0.423423423423423,2015-08-11
"Wednesday, Aug 12","NYM","L","47-65","COL","NL","west",0.419642857142857,2015-08-12
"Thursday, Aug 13","NYM","L","47-66","COL","NL","west",0.415929203539823,2015-08-13
"Friday, Aug 14","SDP","L","47-67","COL","NL","west",0.412280701754386,2015-08-14
"Saturday, Aug 15","SDP","L","47-68","COL","NL","west",0.408695652173913,2015-08-15
"Sunday, Aug 16","SDP","W","48-68","COL","NL","west",0.413793103448276,2015-08-16
"Tuesday, Aug 18","WSN","L","48-69","COL","NL","west",0.41025641025641,2015-08-18
"Wednesday, Aug 19","WSN","L","48-70","COL","NL","west",0.406779661016949,2015-08-19
"Thursday, Aug 20","WSN","W","49-70","COL","NL","west",0.411764705882353,2015-08-20
"Friday, Aug 21","NYM","L","49-71","COL","NL","west",0.408333333333333,2015-08-21
"Saturday, Aug 22","NYM","L","49-72","COL","NL","west",0.40495867768595,2015-08-22
"Sunday, Aug 23","NYM","L","49-73","COL","NL","west",0.401639344262295,2015-08-23
"Monday, Aug 24","ATL","L","49-74","COL","NL","west",0.398373983739837,2015-08-24
"Tuesday, Aug 25","ATL","W","50-74","COL","NL","west",0.403225806451613,2015-08-25
"Wednesday, Aug 26","ATL","W","51-74","COL","NL","west",0.408,2015-08-26
"Friday, Aug 28","PIT","L","51-75","COL","NL","west",0.404761904761905,2015-08-28
"Saturday, Aug 29","PIT","L","51-76","COL","NL","west",0.401574803149606,2015-08-29
"Sunday, Aug 30","PIT","W","52-76","COL","NL","west",0.40625,2015-08-30
"Monday, Aug 31","ARI","W-wo","53-76","COL","NL","west",0.410852713178295,2015-08-31
"Tuesday, Sep 1 (1)","ARI","L","53-77","COL","NL","west",0.407692307692308,2015-09-01
"Tuesday, Sep 1 (2)","ARI","L","53-78","COL","NL","west",0.404580152671756,2015-09-01
"Wednesday, Sep 2","ARI","W","54-78","COL","NL","west",0.409090909090909,2015-09-02
"Thursday, Sep 3","SFG","W","55-78","COL","NL","west",0.413533834586466,2015-09-03
"Friday, Sep 4","SFG","W","56-78","COL","NL","west",0.417910447761194,2015-09-04
"Saturday, Sep 5","SFG","L","56-79","COL","NL","west",0.414814814814815,2015-09-05
"Sunday, Sep 6","SFG","L","56-80","COL","NL","west",0.411764705882353,2015-09-06
"Monday, Sep 7","SDP","W","57-80","COL","NL","west",0.416058394160584,2015-09-07
"Tuesday, Sep 8","SDP","L-wo","57-81","COL","NL","west",0.41304347826087,2015-09-08
"Wednesday, Sep 9","SDP","L","57-82","COL","NL","west",0.410071942446043,2015-09-09
"Thursday, Sep 10","SDP","W","58-82","COL","NL","west",0.414285714285714,2015-09-10
"Friday, Sep 11","SEA","W","59-82","COL","NL","west",0.418439716312057,2015-09-11
"Saturday, Sep 12","SEA","L","59-83","COL","NL","west",0.415492957746479,2015-09-12
"Sunday, Sep 13","SEA","W","60-83","COL","NL","west",0.41958041958042,2015-09-13
"Monday, Sep 14","LAD","L","60-84","COL","NL","west",0.416666666666667,2015-09-14
"Tuesday, Sep 15","LAD","W","61-84","COL","NL","west",0.420689655172414,2015-09-15
"Wednesday, Sep 16","LAD","L","61-85","COL","NL","west",0.417808219178082,2015-09-16
"Friday, Sep 18","SDP","W","62-85","COL","NL","west",0.421768707482993,2015-09-18
"Saturday, Sep 19","SDP","W","63-85","COL","NL","west",0.425675675675676,2015-09-19
"Sunday, Sep 20","SDP","L","63-86","COL","NL","west",0.422818791946309,2015-09-20
"Monday, Sep 21","PIT","L","63-87","COL","NL","west",0.42,2015-09-21
"Tuesday, Sep 22","PIT","L","63-88","COL","NL","west",0.417218543046358,2015-09-22
"Wednesday, Sep 23","PIT","L","63-89","COL","NL","west",0.414473684210526,2015-09-23
"Thursday, Sep 24","PIT","L","63-90","COL","NL","west",0.411764705882353,2015-09-24
"Friday, Sep 25","LAD","W","64-90","COL","NL","west",0.415584415584416,2015-09-25
"Saturday, Sep 26","LAD","W-wo","65-90","COL","NL","west",0.419354838709677,2015-09-26
"Sunday, Sep 27","LAD","W","66-90","COL","NL","west",0.423076923076923,2015-09-27
"Monday, Apr 6","PIT","W","1-0","CIN","NL","central",1,2015-04-06
"Wednesday, Apr 8","PIT","W-wo","2-0","CIN","NL","central",1,2015-04-08
"Thursday, Apr 9","PIT","W-wo","3-0","CIN","NL","central",1,2015-04-09
"Friday, Apr 10","STL","W","4-0","CIN","NL","central",1,2015-04-10
"Saturday, Apr 11","STL","L","4-1","CIN","NL","central",0.8,2015-04-11
"Sunday, Apr 12","STL","L","4-2","CIN","NL","central",0.666666666666667,2015-04-12
"Monday, Apr 13","CHC","L-wo","4-3","CIN","NL","central",0.571428571428571,2015-04-13
